Timestamp,Filesystem,Size,Used,Available,Use%,Mounted,Inodes,InodesUsed,InodesFree,InodesUse%
2024-10-22 22:22:42,tmpfs           392M  1,5M  391M   1% /run,
2024-10-22 22:22:42,/dev/sda3        20G  9,9G  8,5G  55% /,
2024-10-22 22:22:42,tmpfs           2,0G     0  2,0G   0% /dev/shm,
2024-10-22 22:22:42,tmpfs           5,0M  4,0K  5,0M   1% /run/lock,
2024-10-22 22:22:42,/dev/sda2       512M  6,1M  506M   2% /boot/efi,
2024-10-22 22:22:42,tmpfs           392M  2,4M  390M   1% /run/user/1000,
2024-10-22 22:23:42,tmpfs           392M  1,5M  391M   1% /run,
2024-10-22 22:23:42,/dev/sda3        20G  9,9G  8,5G  55% /,
2024-10-22 22:23:42,tmpfs           2,0G     0  2,0G   0% /dev/shm,
2024-10-22 22:23:42,tmpfs           5,0M  4,0K  5,0M   1% /run/lock,
2024-10-22 22:23:42,/dev/sda2       512M  6,1M  506M   2% /boot/efi,
2024-10-22 22:23:42,tmpfs           392M  2,4M  390M   1% /run/user/1000,
2024-10-22 22:24:42,tmpfs           392M  1,5M  391M   1% /run,
2024-10-22 22:24:42,/dev/sda3        20G  9,9G  8,5G  55% /,
2024-10-22 22:24:42,tmpfs           2,0G     0  2,0G   0% /dev/shm,
2024-10-22 22:24:42,tmpfs           5,0M  4,0K  5,0M   1% /run/lock,
2024-10-22 22:24:42,/dev/sda2       512M  6,1M  506M   2% /boot/efi,
2024-10-22 22:24:42,tmpfs           392M  2,4M  390M   1% /run/user/1000,
